index,empno,ename,job,mgr,hiredate,sal,comm,deptno
1,7839,KING,PRESIDENT,,1981-11-17 0:00,5000,,10
2,7698,BLAKE,MANAGER,7839,1981-05-01 0:00,2850,,30
3,7782,CLARK,MANAGER,7839,1981-05-09 0:00,2450,,10
4,7566,JONES,MANAGER,7839,1981-04-01 0:00,2975,,20
5,7654,MARTIN,SALESMAN,7698,1981-09-10 0:00,1250,1400,30
6,7499,ALLEN,SALESMAN,7698,1981-02-11 0:00,1600,300,30
7,7844,TURNER,SALESMAN,7698,1981-08-21 0:00,1500,0,30
8,7900,JAMES,CLERK,7698,1981-12-11 0:00,950,,30
9,7521,WARD,SALESMAN,7698,1981-02-23 0:00,1250,500,30
10,7902,FORD,ANALYST,7566,1981-12-11 0:00,3000,,20
11,7369,SMITH,CLERK,7902,1980-12-09 0:00,800,,20
12,7788,SCOTT,ANALYST,7566,1982-12-22 0:00,3000,,20
13,7876,ADAMS,CLERK,7788,1983-01-15 0:00,1100,,20
14,7934,MILLER,CLERK,7782,1982-01-11 0:00,1300,,10
